age,workclass,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
3.282645602755352,State-gov,,Married-civ-spouse,,,White,Female,,-518.4744723624211,,>50K
79.22831343423019,Self-emp-not-inc,12.461569669106552,Married-civ-spouse,,,Amer-Indian-Eskimo,,-84019.00382113496,-3566.5864323260507,,>50K
360.0,Default,-209.1818760135686,Default,Default,Default,Default,Default,,1590.0,400.0,<=50K
52.0,,9.0,,,Own-child,,Male,39299533.91046791,0.0,400.0,<=50K
0.0,Default,9.0,Default,Default,Default,Default,Default,0.0,0.0,45.0,>50K
-7.802138908320401,,18.886460743188735,Never-married,Priv-house-serv,,White,Male,-69227.17616484633,0.0,400.0,>50K
,,1300.0,Married-spouse-absent,,Husband,White,Male,84655.02613902905,,,>50K
132.1740518983571,Default,nan,Default,Default,Default,Default,Default,0.0,0.0,38.0,>50K
125.16798956510763,Default,21.12461194557534,Default,Default,Default,Default,Default,nan,nan,60.0,>50K
,Private,10.0,Married-spouse-absent,Exec-managerial,,,Female,0.0,,197.43449246612653,>50K
,,6.0,,,Husband,,,,,40.0,<=50K
45.0,,,,Prof-specialty,,White,,0.0,,45.0,>50K
280.0,?,13.0,,,,,,,,40.0,>50K
,,14.0,Married-civ-spouse,Exec-managerial,,,Female,-26195.99691595574,,600.0,>50K
104.38897380233199,Default,16.0,Default,Default,Default,Default,Default,0.0,0.0,600.0,>50K
0.0,Default,1200.0,Default,Default,Default,Default,Default,0.0,0.0,70.0,<=50K
27.639207045859045,Self-emp-not-inc,1300.0,,Exec-managerial,Wife,,Male,,494.9924160533482,61.167426627600385,<=50K
137.59473587103247,Default,nan,Default,Default,Default,Default,Default,0.0,nan,40.0,>50K
52.58433961910339,Private,,Married-civ-spouse,,Other-relative,,,0.0,19020.0,,>50K
186.98586938614045,Default,1000.0,Default,Default,Default,Default,Default,0.0,nan,320.0,>50K
0.0,Default,9.0,Default,Default,Default,Default,Default,nan,0.0,40.0,<=50K
490.0,Private,13.0,Married-spouse-absent,Craft-repair,,,Female,-28992.323156561415,,34.52519307277853,>50K
0.0,Default,5.0,Default,Default,Default,Default,Default,-59490.47619101283,0.0,40.0,<=50K
191.55874217240256,Default,-537.3384049004436,Default,Default,Default,Default,Default,nan,-943.4147901897858,50.0,>50K
,Self-emp-not-inc,1400.0,,,,,,0.0,,,>50K
,,9.0,Married-spouse-absent,,,,,7688.0,0.0,18.73252223693315,>50K
342.28354273427414,Self-emp-not-inc,1100.0,,Prof-specialty,Not-in-family,White,Male,-23890.68620459144,0.0,18.183895331278034,>50K
130.45971125994438,Default,11.0,Default,Default,Default,Default,Default,nan,nan,13.04492387970047,<=50K
29.0,,13.0,Never-married,Transport-moving,,,,11616.172152345785,0.0,35.0,>50K
290.0,Private,,Divorced,Exec-managerial,,Amer-Indian-Eskimo,Female,,0.0,54.53623967067017,<=50K
0.0,Default,10.0,Default,Default,Default,Default,Default,0.0,nan,43.066181486353415,>50K
45.0,,,Married-spouse-absent,,,,,42047.674626796725,0.0,38.0,>50K
121.05333822150189,Default,nan,Default,Default,Default,Default,Default,nan,nan,50.0,>50K
-78.85680870083007,,6.0,Married-AF-spouse,Prof-specialty,Wife,White,Male,0.0,127.54765088562178,,<=50K
52.0,Federal-gov,,,Transport-moving,,,Male,0.0,0.0,,>50K
0.0,Default,11.0,Default,Default,Default,Default,Default,nan,0.0,40.0,>50K
45.0,,-149.7694874010836,Married-civ-spouse,,,White,,,0.0,80.66345639901614,>50K
290.0,,10.0,,Craft-repair,Unmarried,,,,0.0,50.0,<=50K
,Self-emp-not-inc,421.50518067635153,,,,,Female,,,400.0,>50K
650.0,Private,,,Prof-specialty,,,Male,0.0,,-245.27829620023994,<=50K
,,11.006587107162755,Married-AF-spouse,Tech-support,Own-child,White,,0.0,26956.364305059404,22.965224033767516,<=50K
66.37584553832674,,1000.0,,Exec-managerial,,,,0.0,3532.904111332574,,>50K
49.0,,-1675.5852456063546,Married-civ-spouse,,,,Female,7298.0,0.0,40.0,>50K
38.0,Federal-gov,3.3871107814335186,,,Wife,White,,-19740.543786966617,,,<=50K
44.0,Private,9.0,Married-civ-spouse,,Husband,White,Male,,0.0,,<=50K
0.0,Default,5.69154738024597,Default,Default,Default,Default,Default,nan,413.5167363648258,40.0,<=50K
25.0,Private,-1749.3293280796645,Married-spouse-absent,Priv-house-serv,Other-relative,,Male,0.0,-715.2720210774037,40.0,>50K
48.0,Private,1.6625402874602253,Married-civ-spouse,,,,Male,0.0,915.8070076901746,,>50K
,,13.0,,Sales,,,Male,,23946.3083631092,40.0,>50K
40.0,,1400.0,,,Husband,White,,0.0,0.0,,>50K
22.0,Self-emp-not-inc,900.0,Married-spouse-absent,,Other-relative,White,,0.0,,30.0,<=50K
118.17895550446178,?,24.52425581604519,,?,Husband,White,Male,0.0,0.0,80.0,<=50K
430.0,Self-emp-not-inc,,,Tech-support,,,Male,-36439869.58277592,,,<=50K
391.4362366615295,Federal-gov,16.0,,Tech-support,,White,Male,0.0,0.0,32.0,>50K
,,,Married-civ-spouse,,,White,Male,,,48.0,<=50K
,,21.073383564778418,Married-spouse-absent,Priv-house-serv,Husband,Amer-Indian-Eskimo,Male,7298.0,0.0,400.0,>50K
191.72076111854037,Default,nan,Default,Default,Default,Default,Default,nan,80.71107251719049,35.0,>50K
44.0,Self-emp-not-inc,,Married-civ-spouse,,,White,,0.0,7362.847197302249,40.0,>50K
54.0,Private,,Married-civ-spouse,,Wife,,Male,0.0,0.0,72.43079123348284,>50K
24.482496298888716,Self-emp-not-inc,-0.9464214738653114,Married-AF-spouse,,,White,Female,0.0,1003.4782336260866,,<=50K
,Self-emp-inc,6.599502736032667,Married-spouse-absent,Sales,Husband,,Female,4064.0,-2911.180430376831,,<=50K
173.63618984219372,Default,nan,Default,Default,Default,Default,Default,nan,nan,35.08378831312406,<=50K
,,,,Prof-specialty,,,,,,20.0,>50K
0.0,Default,14.0,Default,Default,Default,Default,Default,3047.4536331555073,0.0,34.04765696745585,<=50K
,Self-emp-not-inc,10.0,,,,,,-5378.698420973541,0.0,50.0,>50K
142.26491994992418,Private,,Married-civ-spouse,,,,Female,,0.0,,>50K
,,9.0,,Handlers-cleaners,Own-child,White,Male,,24150.0,11.613863764783726,<=50K
59.0,Default,,Default,Default,Default,Default,Default,,0.0,,>50K
,,16.0,,,Wife,,Female,,,460.0,>50K
,Self-emp-not-inc,10.0,Married-civ-spouse,Exec-managerial,,,,0.0,,,>50K
43.0,,15.0,,Prof-specialty,Other-relative,White,Male,1848000.0,1573.1965588125463,50.0,>50K
48.0,,,,,,White,,0.0,1564.0,,>50K
,Default,,Default,Default,Default,Default,Default,0.0,-1407.4120178723715,22.183695127235044,<=50K
30.0,,,,,Husband,Asian-Pac-Islander,,0.0,1057.6869703111681,250.0,>50K
0.0,Default,nan,Default,Default,Default,Default,Default,87143.35192163041,nan,nan,<=50K
97.51703719424279,Default,10.0,Default,Default,Default,Default,Default,0.0,17410.0,220.0,<=50K
0.0,Default,13.0,Default,Default,Default,Default,Default,nan,-238.7407942241044,nan,>50K
54.0,Local-gov,13.0,Married-civ-spouse,,Other-relative,,,0.0,0.0,-1.986173170369483,<=50K
190.0,?,7.0,Married-AF-spouse,,Own-child,Amer-Indian-Eskimo,,0.0,0.0,,<=50K
257.8225629461144,,-4.034658096700607,,Adm-clerical,Own-child,,,0.0,0.0,25.0,>50K
43.0,,13.0,,Prof-specialty,Husband,,,0.0,0.0,,>50K
47.0,Self-emp-not-inc,,,,Other-relative,Amer-Indian-Eskimo,,0.0,0.0,85.0,>50K
51.0,?,,Married-spouse-absent,?,,Amer-Indian-Eskimo,,0.0,0.0,37.60927534110854,<=50K
,Local-gov,3.2258965608166594,Married-AF-spouse,,Unmarried,,Female,0.0,0.0,,>50K
,Default,-7.776637677583871,Default,Default,Default,Default,Default,0.0,0.0,20.0,<=50K
,,14.729483928929927,Married-civ-spouse,Protective-serv,Husband,Black,,64026589.78956242,1680.5654837279055,399.6015180582358,<=50K
290.0,Default,,Default,Default,Default,Default,Default,-27764.530991670254,-7795.140875860212,380.0,>50K
33.0,Self-emp-inc,,,Craft-repair,Husband,,Male,49376.94653325923,,14.452736323313097,>50K
0.0,Default,10.0,Default,Default,Default,Default,Default,nan,72.56968790578702,40.0,>50K
,Default,-4.9311689275031725,Default,Default,Default,Default,Default,-2714239.7445788826,,,<=50K
80.48338129252775,,,Married-spouse-absent,Priv-house-serv,Husband,,,0.0,3888.9896075494908,,>50K
,?,14.051885626581534,Married-civ-spouse,Farming-fishing,,,Male,,,20.0,<=50K
0.0,Default,nan,Default,Default,Default,Default,Default,-10496.743550786627,0.0,500.0,<=50K
277.4530520921457,Private,,,,Not-in-family,Amer-Indian-Eskimo,Male,0.0,,,<=50K
172.77576037957982,Default,12.231959756523214,Default,Default,Default,Default,Default,2597.0,0.0,50.0,<=50K
250.0,Private,13.0,Married-AF-spouse,,,Black,Female,-8754740.108192738,0.0,,<=50K
0.0,Default,9.0,Default,Default,Default,Default,Default,0.0,1719.0,nan,<=50K
22.0,Private,9.0,Never-married,,,,Male,0.0,0.0,60.0,<=50K
210.0,Private,9.0,Married-AF-spouse,,Own-child,,Female,-20356.470306907268,0.0,,<=50K
-93.3698139105968,,10.0,,,Other-relative,Amer-Indian-Eskimo,,0.0,23894.574966334967,483.66386416851043,<=50K
0.0,Default,nan,Default,Default,Default,Default,Default,0.0,0.0,nan,<=50K
0.0,Default,nan,Default,Default,Default,Default,Default,-56780.32997113938,0.0,nan,>50K
0.0,Default,1000.0,Default,Default,Default,Default,Default,0.0,-8926.634211065977,45.0,>50K
140.4044129449254,Default,13.0,Default,Default,Default,Default,Default,0.0,0.0,40.0,<=50K
,Private,,,Priv-house-serv,Husband,,,15024.0,,40.72232656324914,>50K
54.66599879250249,Self-emp-not-inc,2033.49583581501,Married-civ-spouse,,,White,,0.0,0.0,,<=50K
0.0,Default,nan,Default,Default,Default,Default,Default,3298.8093894645913,0.0,45.0,>50K
181.5609148084081,Default,nan,Default,Default,Default,Default,Default,0.0,0.0,400.0,>50K
30.0,Default,,Default,Default,Default,Default,Default,0.0,-9931.736112763028,,<=50K
,,,,,,,Female,,0.0,40.0,<=50K
0.0,Default,13.0,Default,Default,Default,Default,Default,0.0,100.11180115543056,22.915611263038585,>50K
59.0,State-gov,9.0,,,,White,,0.0,0.0,40.0,>50K
109.34975697745544,Default,nan,Default,Default,Default,Default,Default,4386.0,0.0,nan,>50K
173.12367337929197,Default,nan,Default,Default,Default,Default,Default,0.0,0.0,40.0,>50K
460.0,Self-emp-not-inc,13.0,Married-civ-spouse,Tech-support,,,Male,-17062.856788810805,,500.0,>50K
52.0,Private,13.0,,,Not-in-family,White,,,,40.0,<=50K
,,9.0,Married-civ-spouse,,Wife,White,,,,50.0,<=50K
27.0,Private,13.0,,Machine-op-inspct,,Asian-Pac-Islander,,0.0,,15.0,<=50K
440.0,Self-emp-inc,,Married-civ-spouse,,,,,9413.02918640421,0.0,369.91038790065943,>50K
112.00013581611623,Default,9.0,Default,Default,Default,Default,Default,0.0,0.0,40.0,>50K
,,25.995785343127427,Married-spouse-absent,,Husband,Amer-Indian-Eskimo,Female,0.0,,283.7355941572119,>50K
18.0,,13.0,Never-married,,Husband,,,,0.0,,<=50K
23.0,Default,13.0,Default,Default,Default,Default,Default,0.0,1901.0252195334574,,<=50K
38.0,Default,12.0,Default,Default,Default,Default,Default,,1887.0,50.0,<=50K
260.0,,10.0,Widowed,,,Black,Male,-36014.181837309865,0.0,,<=50K
19.0,Private,10.0,,,Own-child,,,0.0,,150.0,<=50K
114.10434733314435,Local-gov,,,,,,Female,0.0,74.03461477226843,,>50K
,,13.0,Separated,Prof-specialty,Wife,,,10520.0,,,>50K
26.0,,9.0,,Machine-op-inspct,,Amer-Indian-Eskimo,,,,40.0,<=50K
450.0,Private,9.0,,,Not-in-family,Black,Male,,0.0,62.91551899698178,<=50K
27.0,,9.0,,,,White,Female,,417.055070163318,,>50K
106.76416566539228,,1300.0,Never-married,Sales,,Black,Female,0.0,,400.0,<=50K
22.0,,549.5089595842367,,Adm-clerical,,,Male,0.0,,500.0,<=50K
48.0,Default,,Default,Default,Default,Default,Default,0.0,-2844.496621457174,,>50K
30.0,,9.0,Married-civ-spouse,Transport-moving,Husband,White,,0.0,0.0,69.1900069982272,<=50K
,Self-emp-not-inc,9.0,Married-civ-spouse,,,,,,0.0,,>50K
22.0,Private,,Never-married,Craft-repair,,White,Male,0.0,0.0,,<=50K
81.0,,,Married-civ-spouse,Sales,,,,0.0,,40.0,<=50K
55.0,,,Married-AF-spouse,,Own-child,,,0.0,265.1698751350712,,<=50K
889.6384888552284,,10.0,,Transport-moving,,White,,,0.0,,>50K
340.0,,23.866399891224326,Married-spouse-absent,,,White,Male,0.0,0.0,,<=50K
64.0,Default,9.0,Default,Default,Default,Default,Default,,0.0,-8.651837570268242,<=50K
0.0,Default,900.0,Default,Default,Default,Default,Default,0.0,nan,3.2195087488544196,<=50K
30.0,,,Divorced,Machine-op-inspct,,,,,0.0,,<=50K
,,24.42345490003195,Married-civ-spouse,,Husband,White,,,0.0,40.0,>50K
30.0,Private,,,Prof-specialty,Husband,White,,,,80.0,>50K
61.0,,,Never-married,,,Asian-Pac-Islander,,0.0,0.0,-7.285095596778067,<=50K
37.0,,,,Exec-managerial,,,Male,0.0,,500.0,<=50K
24.0,,,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,,56.16727340634564,<=50K
43.529973572412935,,1116.6195684524437,,Exec-managerial,,White,Male,0.0,,30.0,>50K
33.0,,9.0,,Transport-moving,,,,,,30.0,>50K
,,9.0,,,,,Male,488.2969725237436,-608.6472717070423,,>50K
49.61683431218063,,2006.6164854445408,,Sales,,Amer-Indian-Eskimo,Male,-6143.045609364216,9158.841420499348,150.0,<=50K
101.59529442169885,Default,7.0,Default,Default,Default,Default,Default,-14529.716748863673,nan,43.461073419287914,>50K
,Default,13.0,Default,Default,Default,Default,Default,,-572.6811794790792,400.0,<=50K
29.0,Default,13.0,Default,Default,Default,Default,Default,-22531.322488358426,,63.08979085035416,>50K
41.0,Private,9.0,,,Husband,White,Male,0.0,0.0,56.0,>50K
21.0,,9.0,,,Husband,White,,,0.0,,>50K
39.0,,8.920899979848247,Divorced,,,,Male,0.0,0.0,40.0,<=50K
,Self-emp-inc,,Married-civ-spouse,,,White,Male,,1977.0,48.0,>50K
34.0,Private,9.0,Never-married,Tech-support,,,,0.0,0.0,,<=50K
,,,Married-spouse-absent,,Husband,White,Male,,-18.62831768201664,55.0,<=50K
,State-gov,10.0,Married-civ-spouse,,,White,Female,0.0,4283.715872707388,-14.607705141137707,>50K
,,400.0,Divorced,Exec-managerial,,,Male,0.0,0.0,40.0,<=50K
28.0,,,,Sales,Unmarried,White,,,-972.6029763900921,,<=50K
,,6.0,Married-spouse-absent,,Other-relative,,,13817.951020276505,0.0,30.0,<=50K
660.0,,,,Other-service,,White,,,0.0,,>50K
0.0,Default,5.070333363436997,Default,Default,Default,Default,Default,nan,0.0,40.0,<=50K
,,13.0,Married-civ-spouse,,,,,0.0,19020.0,50.0,>50K
0.0,Default,-287.95980614990026,Default,Default,Default,Default,Default,0.0,nan,nan,<=50K
,,,Divorced,Other-service,Other-relative,,Female,0.0,-1798.7970924251874,211.29963120395882,<=50K
27.0,,,,,Own-child,,Male,0.0,2808.9162509755693,,<=50K
0.0,Default,11.633525564043978,Default,Default,Default,Default,Default,0.0,0.0,nan,>50K
198.79624935140453,Default,nan,Default,Default,Default,Default,Default,nan,1887.0,15.907741121707623,>50K
,,-13.439802866356754,Divorced,,,Amer-Indian-Eskimo,Female,,0.0,,<=50K
510.0,Private,9.0,,,Husband,Amer-Indian-Eskimo,,0.0,,28.580623645080806,>50K
35.0,Self-emp-not-inc,,,Adm-clerical,Wife,,,,475.6740910538404,,<=50K
,Private,3251.3136765433387,,Priv-house-serv,Husband,,Female,,2521.5202031825143,,>50K
0.0,Default,5.957973742844581,Default,Default,Default,Default,Default,nan,0.0,nan,<=50K
,,19.49800599322809,,Exec-managerial,,,Female,,0.0,40.0,>50K
51.0,Private,10.0,,,,,Male,111560.52568915195,0.0,15.695676734531418,<=50K
0.0,Default,10.0,Default,Default,Default,Default,Default,59601.129877149804,0.0,nan,>50K
,Never-worked,-2.1109715456380798,,,Not-in-family,,Male,,0.0,3.694612312648349,<=50K
0.0,Default,899.553739252422,Default,Default,Default,Default,Default,0.0,-686.8844453625273,nan,<=50K
35.28842193602708,Private,9.0,Married-spouse-absent,Craft-repair,,White,Female,0.0,439.6854316447885,35.0,>50K
440.0,Federal-gov,900.0,,Prof-specialty,Husband,White,,-15044348.38399259,0.0,,>50K
53.0,Private,,Divorced,Transport-moving,Wife,Amer-Indian-Eskimo,,0.0,0.0,40.0,<=50K
22.0,Private,1300.0,,Craft-repair,,,,0.0,,400.0,<=50K
46.0,Local-gov,,Married-civ-spouse,,Other-relative,Amer-Indian-Eskimo,Male,,-1763.388700831877,,>50K
47.0,Federal-gov,5.0,Divorced,Other-service,,White,Male,,,40.0,<=50K
151.89696369274984,Default,13.0,Default,Default,Default,Default,Default,0.0,0.0,50.0,<=50K
0.0,Default,-161.99084449381866,Default,Default,Default,Default,Default,0.0,0.0,400.0,<=50K
39.0,Private,,Married-civ-spouse,,Other-relative,,,18976602.876538094,0.0,40.0,>50K
,Self-emp-not-inc,-4.5182910586857155,,,Wife,White,,,0.0,40.0,<=50K
0.0,Default,10.0,Default,Default,Default,Default,Default,nan,nan,-21.928163865201718,>50K
48.0,Default,8.939606426534265,Default,Default,Default,Default,Default,,0.0,,>50K
,,,Married-civ-spouse,,Other-relative,White,,3103000.0,0.0,,>50K
,,9.0,,Other-service,Own-child,Black,,0.0,,40.0,<=50K
,,-355.4105036065856,,,,,Male,,0.0,40.0,<=50K
,Self-emp-not-inc,16.666455891291843,Married-AF-spouse,Machine-op-inspct,,White,,56875.92936921296,-2359.7434037707,40.0,<=50K
,Self-emp-not-inc,10.0,Married-civ-spouse,,,,,7688000.0,906.0738791356506,80.0,>50K
41.0,Private,900.0,,Craft-repair,Husband,,,0.0,0.0,40.0,>50K
51.0,,,Divorced,Sales,,White,,-9071.30023154127,0.0,450.0,<=50K
141.6531133081594,Default,1300.0,Default,Default,Default,Default,Default,nan,-6297.159455787191,nan,>50K
,,,,,,,Male,0.0,-1507.190668193179,50.0,<=50K
37.0,,10.0,,,Own-child,,Male,,,,<=50K
,Private,10.0,,,,White,Female,52796.365028936954,0.0,40.0,<=50K
,,1365.5556162938233,,Exec-managerial,Not-in-family,,,-18722.14253647775,0.0,,<=50K
32.0,Self-emp-not-inc,,Married-spouse-absent,Transport-moving,,,,0.0,0.0,40.0,<=50K
44.0,Federal-gov,,,Exec-managerial,,,,0.0,0.0,50.0,>50K
,,,Separated,Other-service,,White,,99999.0,,40.0,<=50K
98.85081123554578,Private,1.0,Married-AF-spouse,,,,Male,,0.0,,<=50K
0.0,Default,9.0,Default,Default,Default,Default,Default,nan,nan,40.0,>50K
,,1500.0,Married-civ-spouse,Priv-house-serv,Husband,White,Male,,12622.809683968284,40.07829888846115,>50K
164.457132667638,Default,-16.74662866501451,Default,Default,Default,Default,Default,0.0,0.0,32.77821186526299,<=50K
,Self-emp-not-inc,14.0,Married-civ-spouse,Sales,Other-relative,,,,,40.0,<=50K
,Private,,,,,White,Female,0.0,1887.0,40.0,<=50K
370.0,Never-worked,9.0,,Craft-repair,,White,Male,5178.0,,40.0,>50K
60.0,Private,6.011894574084136,,,,,Female,0.0,,,>50K
34.0,Private,,,Farming-fishing,Other-relative,White,,-35839.985420671226,,40.0,>50K
181.60336224409292,Default,7.0,Default,Default,Default,Default,Default,0.0,nan,nan,<=50K
40.0,Default,,Default,Default,Default,Default,Default,0.0,0.0,40.0,>50K
26.0,,9.0,,Craft-repair,,Amer-Indian-Eskimo,Male,50743.193185881304,,450.0,>50K
24.07471729478589,,,,,,,Female,11678.0,0.0,380.0,>50K
110.12904444342762,Default,nan,Default,Default,Default,Default,Default,nan,0.0,400.0,>50K
592.5641470444872,Self-emp-inc,25.734617560830657,,,Other-relative,,,0.0,0.0,,<=50K
330.0,Never-worked,,Never-married,Machine-op-inspct,Not-in-family,White,,,0.0,450.0,<=50K
350.0,Default,13.095519472322763,Default,Default,Default,Default,Default,-17893.67084485982,0.0,,>50K
670.0,,13.0,Married-AF-spouse,Prof-specialty,,White,,,0.0,,>50K
320.0,,11.224416399690615,Married-civ-spouse,,,,,2176.0,0.0,400.0,<=50K
0.0,Default,10.0,Default,Default,Default,Default,Default,nan,0.0,50.0,>50K
61.0,,21.059416871403517,,,,Amer-Indian-Eskimo,Male,9551.232346936335,,7.0,>50K
171.98742457363574,Default,1000.0,Default,Default,Default,Default,Default,0.0,0.0,nan,<=50K
82.18574403111532,,,,,Other-relative,Amer-Indian-Eskimo,,0.0,0.0,,>50K
331.8931086268018,Federal-gov,,Married-spouse-absent,Prof-specialty,Own-child,White,Male,46083.240499865475,,40.709617527390535,>50K
33.0,,,Married-civ-spouse,,,Amer-Indian-Eskimo,Male,0.0,-2168.1963601316893,4.0,>50K
23.030980376643807,State-gov,13.0,,,Not-in-family,Black,,0.0,0.0,,<=50K
580.0,,13.0,Married-civ-spouse,,Wife,,Female,,,-6.228235962545973,>50K
148.0789034854813,Default,nan,Default,Default,Default,Default,Default,0.0,nan,40.0,<=50K
,Federal-gov,10.0,Married-spouse-absent,Adm-clerical,Other-relative,Amer-Indian-Eskimo,,-28800.28946117081,-919.9385839497319,43.0,<=50K
54.0,Self-emp-not-inc,,Divorced,,Wife,,Female,-59053.921070350414,0.0,25.0,>50K
30.0,Default,10.0,Default,Default,Default,Default,Default,0.0,,,<=50K
,,900.0,Married-spouse-absent,,,,,0.0,,11.948878323379564,>50K
,Self-emp-not-inc,2320.2968957414023,Never-married,Exec-managerial,,Black,Female,0.0,,-16.857224360031275,<=50K
44.0,Private,,,,,White,Male,0.0,0.0,,>50K
34.0,,6.479477744406337,,?,Husband,Amer-Indian-Eskimo,Female,,,30.0,<=50K
193.2658863954683,Default,nan,Default,Default,Default,Default,Default,-7315144.637873448,1717.6799522704855,50.0,>50K
162.49861224779647,Default,6.0,Default,Default,Default,Default,Default,nan,0.0,400.0,>50K
23.0,,15.46921986228783,,,,,Male,0.0,-491.83387982441343,351.83456587265687,<=50K
1338.2590447589473,Private,-0.6725612201445923,,,Husband,,,,623.4741512722006,50.0,>50K
60.0,Self-emp-inc,9.0,Married-civ-spouse,,Own-child,,Female,-15284.491576168908,-1202.7479959767504,13.001529081395217,>50K
0.0,Default,900.0,Default,Default,Default,Default,Default,31619.14538658332,0.0,500.0,>50K
30.0,,29.995468794492794,Married-civ-spouse,,Husband,White,Male,60783.81324624481,0.0,450.0,>50K
-260.33095057239933,,,Never-married,Adm-clerical,Own-child,Amer-Indian-Eskimo,Male,0.0,-626.7552498104726,400.0,<=50K
60.0,Self-emp-not-inc,,Married-spouse-absent,,,Amer-Indian-Eskimo,Male,0.0,0.0,45.0,>50K
330.0,Self-emp-not-inc,,,,,,Male,0.0,0.0,,<=50K
63.0,,,,,,Black,,,,600.0,>50K
29.0,Default,11.0,Default,Default,Default,Default,Default,0.0,0.0,40.0,>50K
183.37994263390402,Default,nan,Default,Default,Default,Default,Default,29258.87254261688,0.0,nan,>50K
0.0,Default,10.0,Default,Default,Default,Default,Default,-73735.7128070796,386.9984457776975,430.0,>50K
56.0,Private,,Divorced,Craft-repair,Not-in-family,,,0.0,0.0,,<=50K
240.0,,14.0,Married-civ-spouse,,Husband,,,,0.0,40.0,>50K
37.15597890481742,Default,10.0,Default,Default,Default,Default,Default,0.0,-883.7103714200447,,<=50K
199.2204674209342,Default,13.0,Default,Default,Default,Default,Default,0.0,0.0,50.0,>50K
112.16342881677257,Default,14.0,Default,Default,Default,Default,Default,-5436911.826768031,6061.451124138611,40.0,<=50K
,,13.0,,Other-service,Husband,,Male,,0.0,,>50K
0.0,Default,13.866659438278,Default,Default,Default,Default,Default,0.0,-173.02812346877425,50.0,>50K
-28.258279481497524,,33.17886688151263,,,,White,,,-1401.379650939283,35.0,>50K
,State-gov,-14.319765781835233,Never-married,Machine-op-inspct,Own-child,,,0.0,,600.0,<=50K
470.0,,,,Prof-specialty,Husband,Amer-Indian-Eskimo,,,,50.0,>50K
1009.4837177975371,,3.0249062900847914,,?,,Black,Male,0.0,,,<=50K
21.0,Self-emp-not-inc,,Never-married,Machine-op-inspct,,Amer-Indian-Eskimo,,,0.0,40.0,<=50K
59.0,,,,,Own-child,,,,,45.0,<=50K
,,-1063.2835025230956,Married-civ-spouse,,,Amer-Indian-Eskimo,Male,0.0,0.0,103.05826474943143,>50K
,Private,,Never-married,Adm-clerical,,White,,0.0,1691.8259489123502,45.0,<=50K
2.5214947952859177,,1400.0,Married-spouse-absent,,Husband,White,Male,10520000.0,0.0,,>50K
,Private,900.0,Married-civ-spouse,,Husband,Amer-Indian-Eskimo,,-77650.243357208,0.0,400.0,<=50K
,Private,9.0,Married-civ-spouse,Protective-serv,,,Male,7688.0,0.0,36.0,>50K
61.79991954193749,Private,1400.0,,Exec-managerial,,,,0.0,0.0,67.27971585313527,>50K
60.0,,16.0,Married-spouse-absent,,,,,,,66.68013311711016,>50K
,Self-emp-not-inc,,,,,Amer-Indian-Eskimo,,9620.249876961596,,40.0,<=50K
61.0,Private,9.0,,Prof-specialty,Other-relative,,Female,,0.0,40.0,>50K
