age,workclass,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
27.0,Local-gov,7.418813225191592,Separated,Prof-specialty,Own-child,White,,0.0,0.0,,<=50K
35.0,Local-gov,10.0,Separated,,,White,Male,0.0,-4491.05354343735,,<=50K
240.0,Private,13.0,Married-civ-spouse,Transport-moving,Wife,Other,Female,,,450.0,>50K
66.0,,,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,,,>50K
51.0,,23.57017559927477,Never-married,Tech-support,Not-in-family,White,Male,0.0,0.0,40.0,<=50K
49.0,Federal-gov,10.0,Married-civ-spouse,Sales,Husband,,Male,,0.0,50.0,>50K
-2.7184961467773583,Self-emp-inc,20.685116735714637,Married-civ-spouse,Craft-repair,,Other,Female,0.0,,45.0,>50K
40.0,State-gov,-0.4861225289826141,Married-civ-spouse,,Husband,Other,Female,0.0,0.0,40.0,>50K
53.0,Private,22.89177018873223,Married-civ-spouse,Prof-specialty,,White,,,,60.0,>50K
,Self-emp-not-nc,,Never-arried,Exec-manageril,,Othr,,,0.0,250.0,<=50K
560.0,Private,,Separated,Exec-managerial,Own-child,Other,Female,-434.5042499305268,0.0,45.0,<=50K
0.0,Privae,nan,Married-civ-spuse,Craf-repair,Husbnd,Whte,Mae,-4021376.864082906,nan,nan,>50K
32.0,Private,13.0,Never-married,,Own-child,White,Male,,,,>50K
24.0,,13.0,Married-civ-spouse,Exec-managerial,Husband,,,0.0,,,>50K
199.0206241579428,,nan,Marrid-civ-spouse,Prf-specialty,Husbad,Back,ale,5178000.0,0.0,-36.46779326690303,>50K
124.68905516842132,,nan,Marriedciv-spouse,Prof-specialy,usband,,Femal,8734.892109706301,nan,45.0,>50K
26.41307775924533,Private,10.0,Married-civ-spouse,,Wife,White,,0.0,,55.0,>50K
71.0,,8.76190651557865,Separated,,Wife,White,Female,0.0,0.0,40.0,<=50K
52.0,Private,14.0,Married-civ-spouse,Craft-repair,Husband,Other,Female,2580000.0,0.0,42.0,>50K
520.0,?,,Married-civ-spouse,?,Own-child,White,Male,10605.0,0.0,,>50K
59.0,Private,,Married-civ-spouse,Craft-repair,Husband,White,,0.0,3148.63096932819,,>50K
126.62050370349586,Self-em-not-inc,1674.204828899947,Mrried-civ-spouse,,Not-i-family,,,52405.06991930939,-2151.4343754802067,nan,>50K
137.68614789946648,,10.0,Nevermarried,Tec-support,Ownchild,,Mle,-33719.26169387998,nan,25.0,<=50K
,Private,,Separated,Transport-moving,Not-in-family,White,Male,7688.0,,,<=50K
111.12633040595009,Privat,nan,,,,Oher,Mle,0.0,674635.3710631111,60.0,>50K
,,-7.546458833119459,Married-civ-spouse,,Husband,,Male,12842.14226928457,1902.0,,>50K
0.0,Pivate,28.77138983270578,Marrie-civ-spouse,Craft-epair,usband,Whie,,nan,0.0,nan,>50K
0.0,Sef-emp-inc,2177.9608423864943,Maried-civ-spouse,,Hsband,Wite,ale,nan,nan,40.0,<=50K
,Self-emp-inc,9.0,Married-civ-spouse,Protective-serv,Husband,White,Female,,,37.52082385101442,>50K
0.0,Privte,nan,Separate,?,Own-chil,Blck,Femal,0.0,-1285.4148556569717,nan,<=50K
156.13544912504295,rivate,nan,Widowe,Crft-repair,,,Mle,0.0,0.0,70.9229941417754,>50K
307.09855538274655,Private,,Married-civ-spouse,Transport-moving,Wife,White,,0.0,-1542.4771512838186,,>50K
82.7260553854773,Private,15.815912381723514,Married-civ-spouse,Priv-house-serv,,,,7688.0,,500.0,>50K
48.689118615270296,Self-emp-inc,900.0,Never-married,Prof-specialty,Not-in-family,White,Male,-1609.3179388772714,0.0,60.0,>50K
0.0,Self-empinc,11.0,Married-civ-spuse,Craf-repair,Husban,,ale,0.0,-1648119.7082575466,500.0,<=50K
,Self-emp-inc,9.0,Separated,,,,Male,,0.0,,>50K
,Private,9.0,Divorced,Exec-managerial,Not-in-family,Other,Female,10520.0,0.0,40.0,<=50K
106.14154587325679,?,-6.935296571710079,Mrried-civ-spouse,Faming-fishing,,Wite,,-880.5290866411186,nan,244.51199568039044,>50K
,Federal-gov,6.145318012904421,Married-civ-spouse,Adm-clerical,Own-child,Other,Male,,,40.0,>50K
0.0,Prvate,9.0,Mrried-civ-spouse,Exec-mnagerial,,Oter,Mae,nan,nan,nan,>50K
52.0,,,Separated,Prof-specialty,Not-in-family,,Female,-58940.64526289802,1286.0982832587265,,<=50K
580.0,Self-emp-not-inc,4.0,Married-civ-spouse,Transport-moving,Husband,White,,0.0,0.0,856.8624377759255,>50K
185.4443454140022,Prvate,1545.0488734591215,Married-civ-souse,,ife,hite,Mal,7298.0,0.0,550.0,>50K
,Private,9.0,Married-civ-spouse,Craft-repair,,Other,Male,,0.0,400.0,>50K
,Private,,Never-married,Craft-repair,,Other,Female,,,40.0,<=50K
19.0,Private,,Married-civ-spouse,Priv-house-serv,,White,Male,1927973.7139196934,0.0,45.0,>50K
68.52179766092816,Private,14.0,,Prof-specialty,Unmarried,Other,Male,0.0,-1089.8577763359913,35.26416500865532,<=50K
,,17.10475613694581,Separated,Prof-specialty,,,Female,0.0,,22.0,<=50K
,,17.06667453735854,,Exec-managerial,Husband,White,Female,0.0,,480.0,>50K
,Self-emp-inc,20.97659882034242,Married-civ-spouse,Exec-managerial,Husband,,Male,,0.0,40.0,>50K
5.254040350353552,,1400.0,Married-civ-spouse,Prof-specialty,Wife,Other,Female,,,,<=50K
,Private,,Married-civ-spouse,Craft-repair,,,Male,0.0,,40.0,<=50K
145.28483387934688,?,-278.96897968016515,Seprated,Protective-erv,,Othr,Feale,0.0,0.0,200.0,<=50K
92.26653039810843,,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,57467.41975616983,0.0,40.0,>50K
31.0,Private,6.0,Married-civ-spouse,,Husband,White,Female,,0.0,40.0,>50K
,Private,,Married-civ-spouse,Exec-managerial,Wife,,Male,0.0,1902.0,15.705870806165162,>50K
391.30784515658144,Private,14.0,Married-civ-spouse,Transport-moving,Husband,White,Male,,0.0,,>50K
220.0,,27.226699131699196,,,Husband,White,,,-2638.6745233956044,30.0,<=50K
19.0,?,9.0,Never-married,?,Wife,,,0.0,0.0,,<=50K
30.61138844122766,Private,,,Tech-support,Own-child,White,Male,0.0,0.0,65.0,<=50K
550.0,Self-emp-not-inc,1.4314481605210538,Married-civ-spouse,,Own-child,Other,Male,,2883.2637535620256,,>50K
32.0,Self-emp-not-inc,2225.7783371420614,Married-civ-spouse,Transport-moving,Husband,Other,Female,,0.0,48.0,<=50K
,State-gov,,,Exec-managerial,Own-child,Other,Male,,3348.9676711188426,40.0,>50K
167.79626232583587,elf-emp-inc,14.0,Nevermarried,Exec-manageial,Unmaried,,emale,27828.0,0.0,35.0,>50K
,Self-emp-inc,10.976352004658041,Married-civ-spouse,Machine-op-inspct,Own-child,Other,Male,0.0,,287.6131270923253,>50K
,,19.17230596693514,Married-civ-spouse,Exec-managerial,,Asian-Pac-Islander,Female,,0.0,48.0,>50K
27.0,,,Never-married,,Wife,Other,,,312.86134717422004,50.0,<=50K
,Self-emp-inc,16.0,,Sales,,Other,Female,0.0,1902.0,45.0,<=50K
0.0,Priate,1000.0,,Craftrepair,Otherrelative,,,nan,nan,40.0,<=50K
,,13.0,,Prof-specialty,,White,Female,,0.0,30.0,>50K
0.0,Self-emp-notinc,16.03238864647064,,Sles,,,Femae,0.0,nan,nan,<=50K
49.74936033975716,,,Married-civ-spouse,Tech-support,Own-child,White,Female,0.0,,,>50K
35.0,,1050.2128617476346,,,,White,Male,0.0,,44.0,>50K
19.0,,9.0,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,36.56967371989585,<=50K
670.0,,1300.0,Nevr-married,Other-ervice,Nt-in-family,Whie,Femle,0.0,0.0,,>50K
35.0,State-gov,-675.844385360943,Married-civ-spouse,Craft-repair,Wife,,Female,0.0,,450.0,>50K
,,,Married-civ-spouse,Exec-managerial,Husband,,Male,0.0,-106.59872091429526,40.0,>50K
53.0,Self-emp-inc,,,Craft-repair,Own-child,Black,Male,0.0,,48.628267812261356,>50K
31.0,Self-emp-inc,1000.0,,Exec-managerial,Not-in-family,Other,,0.0,1564.0,,>50K
,Prvate,,,Saes,Ow-child,,Mal,0.0,0.0,,<=50K
50.0,Private,10.0,Married-civ-spouse,Craft-repair,,,Male,0.0,0.0,29.736615723469633,>50K
195.00568826555312,Self-emp-not-in,14.0,Married-ci-spouse,,Ownchild,Whie,,0.0,0.0,nan,<=50K
73.83497370453651,Prvate,22.3222616538115,Marred-civ-spouse,Protective-sev,Own-chid,Whie,Mal,0.0,0.0,33.86525655204716,<=50K
0.0,Loca-gov,nan,Divoced,Mchine-op-inspct,ot-in-family,Whit,Mle,nan,0.0,40.0,>50K
38.0,Local-gov,,,Exec-managerial,Husband,,Female,0.0,,40.0,<=50K
39.0,,,Separated,Farming-fishing,Own-child,Other,Female,0.0,0.0,32.690700881555934,<=50K
430.0,,13.0,Separated,,,,Female,,,249.13694283462803,>50K
42.0,Self-emp-inc,11.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688000.0,,,>50K
,Private,,Married-civ-spouse,Transport-moving,Husband,,,-2469.481984216439,0.0,82.31382014209015,>50K
18.00387566572445,?,9.0,,?,Own-child,White,,,0.0,,<=50K
,,-1.2261889507891075,,,Unmarried,Other,Male,0.0,0.0,,>50K
170.0,Self-emp-in,,Never-maried,Armed-Forcs,Other-reltive,lack,,0.0,0.0,13.708289103694018,<=50K
66.0,Local-gov,,Married-civ-spouse,,Husband,,,0.0,0.0,,<=50K
22.0,Lcal-gov,-11.4607028524748,Married-civ-spous,Prof-speialty,usband,hite,Feale,0.0,0.0,400.0,>50K
47.0,Self-emp-inc,900.0,Married-civ-spouse,Protective-serv,Husband,Other,Male,0.0,,40.0,>50K
115.0931619603333,Priate,10.0,Married-cv-spouse,Exec-anagerial,Own-chid,Wite,,nan,0.0,44.56929666282731,>50K
56.0,,9.0,arried-civ-spouse,Exec-manageral,wn-child,Othr,Mae,,-595509.984769199,,<=50K
36.0,Self-emp-not-inc,10.0,Married-civ-spouse,Exec-managerial,Husband,White,,,,62.0,>50K
,Never-worked,1200.0,Married-civ-spouse,,Husband,White,Male,,2339000.0,,<=50K
185.68893440495845,,10.0,Separted,,Own-hild,,Feale,nan,nan,nan,<=50K
22.89151693319061,Self-emp-inc,1300.0,Never-married,Machine-op-inspct,Unmarried,,Female,0.0,,40.0,<=50K
0.0,Local-gv,nan,Dvorced,Protectve-serv,Othe-relative,Oter,Fmale,0.0,0.0,500.0,<=50K
410.0,Self-emp-inc,13.0,Never-married,,,Black,,7298.0,0.0,,<=50K
141.20764690284054,Privat,900.0,Neve-married,Handlers-cleners,Own-hild,,Femle,0.0,nan,15.0,<=50K
42.41272264136663,Private,,Never-married,Craft-repair,Wife,,Male,,1676.0166483527769,40.0,<=50K
,Self-emp-inc,1300.0,Separated,Machine-op-inspct,,White,Male,1424.0,0.0,400.0,<=50K
40.0,Self-emp-inc,14.0,Never-married,Craft-repair,Other-relative,Amer-Indian-Eskimo,Female,0.0,0.0,30.0,<=50K
0.0,,1300.0,Marrie-civ-spouse,Farmig-fishing,Husban,Othe,Mae,0.0,0.0,50.0,<=50K
199.73641356576462,,nan,Never-maried,Exec-maagerial,,Wite,Fmale,17445289.613576353,373.6305544376361,500.0,>50K
137.10000848714972,Priate,13.0,,Transport-moing,Own-cild,,Mle,0.0,0.0,24.438336068263098,>50K
24.0,,,Married-civ-spous,Protectve-serv,,Whit,ale,0.0,1276.6140860979185,40.0,<=50K
300.0,Self-emp-inc,,Married-civ-spouse,Exec-managerial,,White,Male,0.0,,40.0,>50K
28.0,Self-emp-inc,1300.0,Married-civ-spouse,Adm-clerical,,White,Female,0.0,0.0,385.54876061697894,<=50K
121.09192464522744,Slf-emp-inc,9.0,Maried-civ-spouse,,Own-chid,Oher,Mle,nan,nan,500.0,>50K
0.0,elf-emp-not-inc,16.0,Married-civspouse,Prof-secialty,Husbnd,,,0.0,0.0,189.80084385919065,>50K
65.0,Self-em-not-inc,14.186347279981497,Married-iv-spouse,Saes,Own-chld,Othe,,,1017.9077846966845,,<=50K
42.0,,6.0,Separated,,Unmarried,Amer-Indian-Eskimo,Female,65929561.97803921,0.0,550.0,<=50K
0.0,State-gv,1100.0,Divoced,Prof-secialty,ther-relative,Oter,Mae,nan,nan,56.0,>50K
59.0,Self-emp-not-inc,10.0,,Exec-managerial,Husband,White,,43971.55964775863,,400.0,>50K
0.0,Self-em-inc,nan,Married-civspouse,Prtective-serv,Husand,Whte,Femal,45135.72623383647,nan,403.0753999532431,>50K
144.15103613527128,Privat,1100.0,,Trasport-moving,Husban,Whie,Mae,nan,0.0,50.0,>50K
460.0,Private,9.0,Married-civ-spouse,Tech-support,,Black,Male,,0.0,40.0,>50K
248.96384305734472,,900.0,Divorced,Farming-fishing,,White,Male,-31544.57486121223,0.0,,<=50K
200.0,Self-emp-inc,,Married-civ-spouse,Sales,Wife,White,,0.0,,250.0,<=50K
,Private,35.98762914686175,Never-married,,,Asian-Pac-Islander,Male,,2577.7803407073625,40.0,<=50K
22.0,Self-emp-inc,,Married-civ-spouse,Sales,,White,,,,500.0,>50K
0.0,Slf-emp-inc,9.0,,Otherservice,Wif,hite,,nan,0.0,51.69537623243024,>50K
76.0137738404461,Local-gov,,Married-civ-spouse,Craft-repair,Husband,White,Male,7298.0,,650.0,>50K
,,,Separated,,Own-child,White,,0.0,,,<=50K
,,13.0,Never-marrie,,Not-in-faily,Whte,Mae,19396.744421725405,,600.0,<=50K
350.0,rivate,,Seprated,Hadlers-cleaners,Not-in-famil,,Mle,46729.24253146722,1160840.7024422346,,<=50K
78.31110515636098,,4.0,,,Husband,Black,Female,0.0,0.0,,<=50K
350.0,,,Separated,Adm-clerical,Own-child,Other,Female,,0.0,-205.2045424345493,<=50K
45.0,?,9.0,Married-civ-spouse,Exec-managerial,Wife,White,Male,107328.81368471934,0.0,60.0,>50K
170.0,Self-emp-inc,,Separated,Craft-repair,Not-in-family,White,Female,0.0,0.0,40.0,>50K
,Private,900.0,Married-civ-spouse,,Husband,White,,,,45.0,<=50K
27.438299111814043,Self-emp-inc,1400.0,Never-married,Sales,Unmarried,Black,,0.0,0.0,,<=50K
900.0,,1400.0,,,Wife,Other,Male,0.0,1113934.179159762,,>50K
39.0,,10.0,Separated,Sales,Wife,,,,634.8308749861021,40.0,<=50K
22.0,Private,10.0,Never-married,Adm-clerical,Own-child,White,,,,40.0,<=50K
,Pivate,14.0,arried-civ-spouse,Pro-specialty,On-child,,Feale,,347906.9037233229,50.0,>50K
15.899488926834373,Self-emp-inc,1000.0,,Sales,Own-child,Other,Male,,0.0,75.0,<=50K
52.0,,,Married-civ-spouse,Exec-managerial,Own-child,,Male,,0.0,45.0,>50K
,Private,3.0,Never-married,Machine-op-inspct,Not-in-family,White,Female,0.0,,63.581838843965166,<=50K
35.0,Private,,Married-civ-spouse,Exec-managerial,Own-child,Other,,22931707.828407645,0.0,40.0,<=50K
25.0,Self-emp-not-inc,9.0,,,Own-child,Other,Male,,,350.0,<=50K
41.101689473856304,Private,,,Priv-house-serv,,,Male,,1327.0899480324804,400.0,>50K
64.0,,1000.0,Married-civ-spouse,,,White,,,,,<=50K
65.0,Self-emp-not-in,900.0,Maried-civ-spouse,,,,Mle,-19960009.281698197,529.0366807189143,40.0,<=50K
0.0,,nan,Never-maried,Exec-managrial,,Whit,emale,0.0,0.0,575.8419697109385,<=50K
25.0,,9.0,Divorced,Machine-op-inspct,Not-in-family,White,Male,0.0,,270.0,<=50K
42.0,Private,9.0,Married-civ-spouse,Prof-specialty,Husband,White,,0.0,,45.0,>50K
54.0,Self-emp-inc,9.0,Married-civ-spouse,Prof-specialty,Own-child,White,Male,,,54.862141203340144,>50K
49.0,,300.0,,Sales,,,Female,0.0,,60.0,<=50K
37.0,Self-emp-inc,,Married-civ-spouse,,,Other,Female,,,50.0,<=50K
12.131213348330633,Private,,,Prof-specialty,Not-in-family,White,Male,4386.0,0.0,50.0,<=50K
,Self-emp-not-inc,,Married-civ-spouse,,,Other,Female,0.0,-233.56764399635935,40.0,>50K
,Private,9.0,Married-civ-spouse,Sales,Own-child,Other,Male,,,,>50K
46.0,,9.0,Divorced,,Unmarried,,Female,0.0,0.0,,>50K
,Private,0.569349406632254,Never-married,Adm-clerical,Wife,,,0.0,,50.0,<=50K
101.56505232071069,Self-mp-inc,9.0,,Protective-srv,Husbad,,Mae,3103.0,0.0,nan,>50K
,Privae,9.0,Marrid-civ-spouse,Caft-repair,,Whit,Mle,-27262.93290143555,-2566.662814943903,400.0,<=50K
,Self-emp-in,9.0,,Exec-manaerial,Umarried,,,0.0,,,>50K
31.0,Self-emp-inc,1500.0,Married-civ-spouse,Protective-serv,,White,,,0.0,56.0,>50K
34.0,Federal-gov,,Married-civ-spouse,Adm-clerical,,White,Female,,0.0,30.456898706601443,>50K
,?,10.0,,?,,Black,Male,,,20.729447587420378,<=50K
36.0,,15.0,,Prof-specialty,Own-child,Other,Female,0.0,1977.0,,>50K
34.0,Private,13.0,Separated,Tech-support,,,Female,,0.0,40.0,<=50K
18.0,,16.332050593883828,Married-civ-spouse,Prof-specialty,,Other,Female,0.0,,,<=50K
57.0,,13.0,Married-civ-spouse,Adm-clerical,,,Male,0.0,-2223.194912103253,15.0,>50K
67.0,Private,900.0,Divorced,Protective-serv,,Black,Male,0.0,,337.94165189578155,<=50K
45.0,,,Separated,Sales,Other-relative,,Female,0.0,,40.0,<=50K
41.0,,3.468966933662824,,Craft-repair,,White,Male,0.0,,,<=50K
66.0,,,Married-civ-spouse,Tech-support,,White,Male,0.0,0.0,27.510409436168054,>50K
0.0,?,1000.0,Never-marred,Transport-movig,Own-chld,hite,Mae,14134.36260138388,0.0,nan,<=50K
31.0,Self-emp-not-inc,1300.0,,Craft-repair,Wife,,,0.0,,50.0,>50K
182.9997354417512,rivate,13.0,,ales,Not-in-famil,,Mle,0.0,0.0,8.0,<=50K
,,3.1900305518064296,Divorced,Other-service,,White,Female,0.0,0.0,25.0,<=50K
,Private,1000.0,Widowed,Craft-repair,,White,,0.0,0.0,59.1246431961122,<=50K
0.0,Nevr-worked,nan,Married-iv-spouse,?,Own-chil,Wite,,0.0,3146.90274403988,-29.303352484076896,>50K
195.7240751280126,Fderal-gov,18.584207231205156,,Protectve-serv,Husbad,,,0.0,0.0,53.58249240348847,>50K
,,9.0,Widowed,Adm-clerical,Wife,White,Female,,,400.0,<=50K
,Self-emp-inc,13.0,Married-civ-spouse,,,White,Female,0.0,0.0,40.0,>50K
44.0,,,,Adm-clerical,Not-in-family,White,,0.0,0.0,,<=50K
26.0,Private,-3.704352683107617,,Transport-moving,Husband,,Male,21614277.982620027,216655.8151993289,,>50K
195.16163332184533,,6.0,ever-married,Oter-service,Own-cild,Oter,,0.0,0.0,nan,<=50K
67.0,Federal-gov,,,Transport-moving,Own-child,Other,,0.0,0.0,20.0,>50K
65.0,Private,10.0,,Handlers-cleaners,Husband,White,Male,,0.0,,<=50K
192.076518271733,Sef-emp-not-inc,13.0,Married-civ-souse,Saes,,Whte,Mal,0.0,0.0,42.85795612772764,>50K
34.0,Local-gov,,,,Not-in-family,White,,0.0,0.0,20.0,<=50K
0.0,Self-emp-ic,9.0,Separted,,On-child,ther,Mae,-17461264.349677406,-31.364538950441993,nan,<=50K
35.0,Self-emp-inc,,Married-civ-spouse,,Husband,Other,Male,,0.0,,>50K
48.0,Federal-gov,,,,Husband,White,Female,0.0,0.0,35.73720783324471,>50K
53.0,Private,800.0,Divorced,Transport-moving,Unmarried,White,Female,0.0,,40.0,<=50K
26.0,,,Never-married,Craft-repair,Husband,White,Female,0.0,0.0,,<=50K
,Local-gov,9.0,Married-civ-spouse,Craft-repair,Husband,Other,Male,0.0,2064030.4787793458,500.0,>50K
39.0,Self-emp-not-inc,10.0,Divorced,Armed-Forces,Unmarried,Other,,,0.0,32.54119589150744,<=50K
163.765641468436,,nan,,Tech-suport,Unarried,hite,emale,0.0,nan,nan,<=50K
188.6144975639873,Priate,1010.392526324679,Neve-married,Craftrepair,Wie,Asian-Pc-Islander,,nan,nan,45.0,<=50K
350.0,Private,,Married-civ-spouse,Exec-managerial,Husband,Other,Male,,0.0,40.0,>50K
45.941360618399194,Private,13.0,Never-married,Transport-moving,,White,Male,-78879.81043324695,,40.0,<=50K
0.0,Priate,16.416571483688838,Married-civ-spuse,Prof-pecialty,Not-infamily,,Femle,-7022.477791198465,0.0,93.25374451952378,>50K
44.0,,5.561451129340516,Married-civ-spuse,Exec-mnagerial,Husbad,Whit,Mae,,0.0,,>50K
41.0,Never-worked,9.0,Married-civ-spouse,,,White,Male,-57079.3919110303,0.0,45.0,>50K
,Private,9.0,Divorced,,Own-child,Black,,,950.9090313882098,40.0,<=50K
,Private,1026.3017185819162,Never-married,,Not-in-family,White,Male,31578828.413305663,-546.8457406900217,35.0,<=50K
280.0,Private,,Separated,,Own-child,White,Male,0.0,0.0,,<=50K
750.0,Private,,Married-civ-spouse,Sales,Husband,White,Male,0.0,-1427566.7692463754,,>50K
,Private,6.714631739824226,Married-civ-spouse,,Husband,White,Male,,0.0,40.0,>50K
51.0,Self-emp-not-inc,,Divorced,Exec-managerial,,White,Male,-34200.27286076364,0.0,40.0,<=50K
0.0,Pivate,-651.6952915012233,Married-civ-spose,Execmanagerial,Husban,Oter,Mal,0.0,0.0,55.0,>50K
,Private,1312.3694769760757,,Craft-repair,Unmarried,White,,,0.0,,<=50K
460.0,Private,10.0,Separated,Sales,Own-child,White,Female,,0.0,,<=50K
380.0,Private,11.0,Never-married,Tech-support,Own-child,,Male,0.0,,40.0,<=50K
24.0,Self-emp-inc,13.0,Never-married,Exec-managerial,Not-in-family,White,,0.0,0.0,82.4664388206676,<=50K
32.0,Private,11.0,Married-civ-spouse,Exec-managerial,Own-child,White,Male,18279.180807088916,,,<=50K
41.0,Self-emp-not-inc,,Married-civ-spouse,Exec-managerial,Husband,White,,,0.0,50.0,>50K
56.0,Private,,Married-AF-spouse,Other-service,Not-in-family,Black,Female,0.0,0.0,400.0,<=50K
75.0,,1.0,Separated,,,Asian-Pac-Islander,Female,,1945.1716201851305,40.0,<=50K
130.59133944825285,Privat,16.0,ever-married,Craft-repar,Not-in-faily,Whit,emale,9466957.159596562,0.0,40.0,>50K
34.0,,12.0,Married-civ-spouse,Exec-managerial,,Other,,0.0,0.0,40.0,>50K
181.28267029510022,Self-mp-not-inc,13.0,Married-iv-spouse,Sale,Husbad,Whit,Fmale,0.0,1069034.6110070439,50.0,<=50K
45.0,Self-emp-not-inc,700.0,,Sales,,,Female,0.0,,40.0,<=50K
,,,Married-civ-spouse,Handlers-cleaners,Own-child,White,,,1136551.2590951885,,<=50K
37.0,?,,Married-civ-spouse,Craft-repair,,White,Female,5178000.0,0.0,,>50K
,Self-emp-inc,13.0,Married-civ-spouse,Exec-managerial,Husband,,Female,0.0,-2067.2769194200096,45.0,>50K
34.0,Private,2240.6218386943883,,Prof-specialty,Husband,White,,,0.0,40.0,>50K
0.0,Self-emp-ic,10.0,Married-cv-spouse,raft-repair,Huband,Whte,Mle,0.0,0.0,40.0,<=50K
55.0,Self-empinc,16.870190384447106,Married-civ-pouse,Exec-manageria,Husbnd,,,,648616.1367419382,978.906581237087,>50K
26.0,Self-emp-inc,10.0,Never-married,Craft-repair,Not-in-family,,Female,1170.284245095392,,300.0,>50K
744.6391578312597,Private,11.0,Widowed,Prof-specialty,,,Male,,0.0,12.0,>50K
133.22561305738483,Self-emp-ic,3.0,Married-civ-spoue,Exec-maagerial,Husbnd,Othr,Femae,0.0,0.0,nan,>50K
50.61487094728326,Self-emp-inc,,Married-civ-spouse,,Husband,White,,0.0,0.0,,<=50K
330.0,?,,Separated,Other-service,Other-relative,Black,,,0.0,40.0,<=50K
,Pivate,4.0,Married-cv-spouse,ales,Husbad,,Feale,,,60.0,>50K
,Private,-343.97675430796966,Never-married,Prof-specialty,Not-in-family,Other,Female,0.0,0.0,,>50K
30.0,Self-emp-not-inc,1000.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,,0.0,,<=50K
0.0,,nan,Marrid-civ-spouse,Exec-manageril,On-child,Wite,emale,0.0,0.0,nan,>50K
58.838677851760906,Never-worked,1300.0,Separated,Farming-fishing,Not-in-family,White,,0.0,-568.8155842623802,,>50K
111.21518163401748,Self-emp-nc,10.0,Separate,Craft-repir,Not-in-famly,Whte,Mal,-21215.066783686478,nan,586.8929080452808,<=50K
34.0,?,,,,Husband,White,,0.0,,43.0,>50K
383.46169103660833,,1500.0,,Craft-repair,,,Female,0.0,0.0,400.0,>50K
20.0,Private,9.0,Married-civ-spouse,Machine-op-inspct,Own-child,Other,Female,4967067.391032557,800.59605477936,58.0,>50K
57.0,Federal-gov,,,Exec-managerial,Other-relative,,Female,0.0,0.0,,<=50K
46.0,Self-emp-inc,,Married-civ-spouse,Handlers-cleaners,Wife,White,Female,,,20.0,>50K
0.0,Privte,700.0,,arming-fishing,Husbnd,hite,Femal,0.0,-700116.5214335414,nan,<=50K
,,10.0,Married-civ-spouse,Adm-clerical,,White,,0.0,0.0,500.0,<=50K
21.0,Self-emp-inc,12.600650627228385,Divorced,Sales,Not-in-family,Other,,0.0,,25.0,>50K
300.0,Self-mp-inc,12.0,,,Unmrried,hite,,0.0,0.0,40.0,<=50K
,Private,9.0,Married-civ-spouse,Sales,Own-child,White,Male,0.0,,44.04012454790731,>50K
,Private,,,,,Black,Female,0.0,,60.0,<=50K
